1ipv6,#genre#
1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/1.m3u8
2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8
3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8
4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8
5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/1.m3u8
6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/1.m3u8
7,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8
9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/1.m3u8
10,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010217/1.m3u8
11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8
12,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8
13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
14,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
15,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
16,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
17,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
18,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8

2IPV6,#genre#
21,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/index.m3u8
22,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000003000000033/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000033&IASHttpSessionId=OTT19019320240419154124000281&yang-1989
23,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010224/1.m3u8
24,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010070/1.m3u8
25,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010225/1.m3u8
26,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010219/1.m3u8
27,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010143/1.m3u8
28,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010221/1.m3u8
29,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010218/1.m3u8
30,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010068/1.m3u8
31,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010115/1.m3u8
32,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010099/1.m3u8
33,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010069/1.m3u8
34,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010041/1.m3u8
35,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010066/1.m3u8
36,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010060/1.m3u8
37,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010101/1.m3u8
38,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000005000017925/index.m3u8?channel-id=bestzb&Contentid=5000000005000017925&livemode=1&stbId=3
38,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000006211/index.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=3
40,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010096/1.m3u8
41,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010223/1.m3u8
42,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010100/1.m3u8
43,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010061/1.m3u8
44,http://[2409:8087:5e08:24::8]:6610/000000001000/5000000011000031117/index.m3u8?channel-id=bestzb&Contentid=5000000011000031117&livemode=1&stbId=3
45 ,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010222/1.m3u8
46,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010119/1.m3u8
47,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010098/1.m3u8
48,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010111/1.m3u8
49,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000003000000066/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000066&IASHttpSessionId=OTT19019320240419154124000281&yang-1989
50,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010120/1.m3u8
51,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010002/1.m3u8
52,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010073/1.m3u8
53,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010064/1.m3u8
54 ,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010065/1.m3u8
55,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000009601/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009601&livemode=1&stbId=3
56,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010062/1.m3u8
57,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010086/1.m3u8
58,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000003000000041/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000041&IASHttpSessionId=OTT19019320240419154124000281&yang-1989
59,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010021/1.m3u8
60,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010004/1.m3u8
61,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010025/1.m3u8
62,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010082/1.m3u8
63,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010005/1.m3u8
64,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010079/1.m3u8
65,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010080/1.m3u8
66,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010087/1.m3u8
67,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010085/1.m3u8
68,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010003/1.m3u8
69,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010074/1.m3u8
70,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010077/1.m3u8
71,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000000515/index.m3u8?channel-id=ystenlive&Contentid=1000000001000000515&livemode=1&stbId=3
72,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010146/1.m3u8
73,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010078/1.m3u8
74,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010072/1.m3u8
75,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010076/1.m3u8
76,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000004000000032/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000032&IASHttpSessionId=OTT19019320240419154124000281&yang-1989
